Specimen properties : Thickness,5.67,mm
Specimen properties : Width,12.97,mm
Specimen properties : Specimen label,pc-notch,
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.19072
0.5,0.03189,79.22213
1,0.06527,161.29189
1.5,0.09866,242.67699
2,0.13194,322.88165
2.5,0.16529,402.14133
3,0.19859,480.51047
3.5,0.23199,558.30328
4,0.26541,635.65125
4.5,0.29866,712.06342
5,0.33193,787.75342
5.5,0.36514,862.4859
6,0.39861,937.3501
6.5,0.43194,1010.45752
7,0.46536,1083.37964
7.5,0.4986,1154.93652
8,0.53196,1225.58276
8.5,0.56537,1295.47876
9,0.59872,1364.07153
9.5,0.63209,1431.74475
10,0.66521,1497.71106
10.5,0.69854,1562.69275
11,0.73185,1626.37964
11.5,0.7654,1689.43799
12,0.79862,1750.37183
12.5,0.83193,1810.14221
13,0.86534,1868.73438
13.5,0.89864,1926.34424
14,0.93204,1982.91125
14.5,0.96537,2038.01746
15,0.99871,2092.19727
15.5,1.03188,2144.67847
16,1.06521,2196.55347
16.5,1.09853,2246.68213
17,1.13201,2295.9126
17.5,1.16535,2343.5437
18,1.19853,2389.34766
18.5,1.23197,2434.28491
19,1.2654,2477.98682
19.5,1.2988,2519.93359
20,1.33198,2560.15942
20.5,1.36525,2598.75049
21,1.39847,2635.67578
21.5,1.43189,2671.11865
22,1.46529,2704.25
22.5,1.49862,2735.40942
23,1.53197,2766.55078
23.5,1.56529,2796.23804
24,1.59869,2826.47119
24.5,1.63205,2856.12109
25,1.66538,2885.63306
25.5,1.69854,2914.5376
26,1.73188,2943.53149
26.5,1.76519,2972.2688
27,1.7986,3000.31763
27.5,1.83199,3028.33887
28,1.86533,3055.21118
28.5,1.89867,3081.99219
29,1.93197,3107.52197
29.5,1.96539,3132.62744
30,1.99869,3155.74121
30.5,2.03205,3177.93628
31,2.06515,3198.21753
31.5,2.09847,3217.11328
32,2.132,3234.56665
32.5,2.16534,3249.05103
33,2.19868,3260.12964
33.5,2.23196,3266.25806
34,2.26536,3265.04736
34.5,2.29867,3255.07495
35,2.33211,3236.55371
35.5,2.36531,3206.56006
36,2.39857,3164.30591
36.5,2.43188,3112.23169
37,2.46521,3052.10645
37.5,2.49867,2988.36768
38,2.53198,2922.96509
38.5,2.56532,2861.68579
39,2.59861,2806.18921
39.5,2.63205,2756.17358
40,2.66539,2709.38452
40.5,2.69871,2662.67065
41,2.73196,2614.29175
41.5,2.76519,2563.0542
42,2.79854,2508.07788
42.5,2.83192,2447.32153
43,2.86537,2378.17847
43.5,2.89866,2295.57544
44,2.93196,2194.61499
44.5,2.96528,2074.62134
45,2.99872,1928.78284
45.5,3.03208,1762.30469
46,3.06529,1610.90234
46.5,3.09857,1485.39526
47,3.13191,1372.75879
47.5,3.16531,1264.11072
48,3.19862,1155.90747
48.5,3.232,1044.60645
49,3.26527,928.82367
49.5,3.29868,814.5976
50,3.33195,708.10541
50.5,3.36537,609.54254
51,3.39874,510.58649
51.5,3.43194,395.98019
51.827,3.45372,1.91745
