Specimen properties : Thickness,5.63,mm
Specimen properties : Width,13.12,mm
Specimen properties : Specimen label,pc-good,
,,
Time,Extension,Load
(s),(mm),(N)
0,0,-0.01238
0.5,0.03193,84.61378
1,0.06536,173.60487
1.5,0.0986,260.88181
2,0.13196,346.71222
2.5,0.16528,430.91772
3,0.19874,515.1543
3.5,0.23204,597.87585
4,0.26538,679.95093
4.5,0.29855,760.68884
5,0.33186,840.88361
5.5,0.36524,920.43738
6,0.39861,999.2417
6.5,0.43204,1077.58765
7,0.4653,1154.66663
7.5,0.49862,1230.84741
8,0.532,1306.26147
8.5,0.56539,1381.41223
9,0.59867,1455.22192
9.5,0.63195,1528.25256
10,0.66521,1600.22229
10.5,0.69853,1671.55334
11,0.7319,1741.91052
11.5,0.76532,1811.70984
12,0.79872,1880.63403
12.5,0.83196,1948.02185
13,0.86528,2014.55505
13.5,0.89866,2080.41187
14,0.93214,2145.54395
14.5,0.96532,2208.89941
15,0.9985,2270.87891
15.5,1.0319,2332.67603
16,1.06526,2393.45679
16.5,1.09868,2453.31665
17,1.13195,2511.75146
17.5,1.16533,2569.2998
18,1.1986,2625.77246
18.5,1.23203,2681.729
19,1.26531,2735.97314
19.5,1.29872,2789.40503
20,1.33197,2841.68481
20.5,1.36514,2892.66577
21,1.39855,2943.07227
21.5,1.43194,2992.2168
22,1.46537,3040.80176
22.5,1.49859,3087.74927
23,1.53201,3134.12207
23.5,1.56528,3178.88159
24,1.59872,3223.31519
24.5,1.63207,3266.58032
25,1.66528,3308.33838
25.5,1.69858,3349.4585
26,1.73184,3389.54883
26.5,1.76529,3428.82129
27,1.79863,3467.05029
27.5,1.83202,3504.00684
28,1.86524,3540.03271
28.5,1.89858,3575.09619
29,1.93206,3609.32935
29.5,1.96538,3642.34741
30,1.99867,3674.35474
30.5,2.03194,3705.19434
31,2.06526,3735.51514
31.5,2.09853,3764.76807
32,2.13197,3794.25317
32.5,2.16529,3823.32349
33,2.19866,3852.07983
33.5,2.2319,3880.41138
34,2.26528,3908.73022
